NOMBRE_MATERIAL,CATEGORIA,SUBCATEGORIA,UNIDAD_MEDIDA,FACTOR_CONV,STOCK_ACTUAL,STOCK_MIN,FECHA_VENC,COSTO_UNIT
ACETATO MIORRELAJANTE,ODONTOLOGIA,MATERIALES,UNIDAD,1,6,3,2027-12-01,8.00
ACETATO RIGIDO 0.60,ODONTOLOGIA,MATERIALES,CAJA,20,0.9,10,2027-12-01,6.50
ACETATO RIGIDO 0.80,ODONTOLOGIA,MATERIALES,CAJA,20,0,10,2027-12-01,6.50
ACIDO FLUROHIDRICO,ODONTOLOGIA,MATERIALES,UNIDAD,1,1,2,2026-08-01,15.00
ACIDO PARA COLOCACION,ODONTOLOGIA,MATERIALES,PAQUETE,3,0,10,2026-09-01,10.00
ACIDO PARA RESTAURACION,ODONTOLOGIA,MATERIALES,PAQUETE,3,0,10,2026-09-01,10.00
ACRILICO BLANCO EN POLVO,ODONTOLOGIA,MATERIALES,UNIDAD,1,3,2,2027-05-01,12.00
ACRILICO ROSADO EN POLVO,ODONTOLOGIA,MATERIALES,UNIDAD,1,1,2,2027-05-01,12.00
ACRILICO TRANSPARANTE EN POLVO,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,5,2027-05-01,12.00
ACRILICOS LIQUIDO RAPIDO,ODONTOLOGIA,MATERIALES,UNIDAD,1,2,2,2026-04-01,14.00
AGUA OXIGENADA 100 VOLUMENES,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,10,2026-03-01,3.00
AGUJAS CORTAS,ODONTOLOGIA,MATERIALES,UNIDAD,1,51,20,2028-01-01,0.20
AGUJAS LARGAS,ODONTOLOGIA,MATERIALES,UNIDAD,1,9,30,2028-01-01,0.25
AGUJAS PEDIATRICAS,ODONTOLOGIA,MATERIALES,UNIDAD,1,36,15,2028-01-01,0.22
AISLANTE PARA YESO,ODONTOLOGIA,MATERIALES,UNIDAD,1,1,2,2027-12-01,6.00
ALAMBRE RETENCION FIJA,ODONTOLOGIA,MATERIALES,UNIDAD,1,3,2,2027-12-01,5.00
ALGINATO,ODONTOLOGIA,MATERIALES,KILO,45,1.2,20,2026-06-01,9.00
ALGODON TRENZADO,ODONTOLOGIA,MATERIALES,RODETE ,500,0.04,10,2027-12-01,4.00
ALLCEM CORE A1,ODONTOLOGIA,MATERIALES,UNIDAD,1,1,2,2026-11-01,25.00
ALVOFAR,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,5,2026-08-01,18.00
AMONIO CUATERNARIO,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,10,2026-07-01,6.00
ANESTESICO AL 2%,ODONTOLOGIA,MATERIALES,UNIDAD,1,22,10,2026-07-01,2.50
ANESTESICO AL 3%,ODONTOLOGIA,MATERIALES,UNIDAD,1,19,10,2026-07-01,2.80
ANESTESICO EN SPRAY (ROXICAINA),ODONTOLOGIA,MATERIALES,FRASCO,500,0.61,50,2026-10-01,3.50
ANESTESICO TOPICO EN CREMA,ODONTOLOGIA,MATERIALES,FRASCO,100,79,20,2026-09-01,6.00
APLICADORES,ODONTOLOGIA,MATERIALES,PAQUETE,100,1.75,50,2027-12-01,3.00
BABEROS QUIRURGICOS,ODONTOLOGIA,MATERIALES,PAQUETE,125,2.08,100,2027-12-01,5.00
BANDA DE CELULOIDE / POLIESTER,ODONTOLOGIA,MATERIALES,UNIDAD,1,439,100,2027-12-01,4.50
BANDAS METALICAS MATRIZ,ODONTOLOGIA,MATERIALES,UNIDAD,1,3,5,2027-12-01,6.00
BANDA METALICA MATRIZ CON FORMA,ODONTOLOGIA,MATERIALES,UNIDAD,1,55,15,2027-12-01,7.00
BANDEJA PLASTICA PARA LAVAR INSTRUMENTALES,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,5,2036-02-01,12.00
BANDEJAS PEQUENAS METALICAS,ODONTOLOGIA,MATERIALES,UNIDAD,1,3,2,2036-02-01,12.00
BARRERA GINGIVAL / TOP DAM BLUE,ODONTOLOGIA,MATERIALES,PIEZA,5,1,3,2026-08-01,18.00
BISTURI #10,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,5,2027-12-01,0.50
BISTURI #11,ODONTOLOGIA,MATERIALES,UNIDAD,1,10,5,2027-12-01,0.50
BISTURI #12,ODONTOLOGIA,MATERIALES,UNIDAD,1,9,5,2027-12-01,0.50
BISTURI #15,ODONTOLOGIA,MATERIALES,UNIDAD,1,8,5,2027-12-01,0.50
BISTURI #15C,ODONTOLOGIA,MATERIALES,UNIDAD,1,1,3,2027-12-01,0.50
BISTURI #20,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,5,2027-12-01,0.50
BONDING,ODONTOLOGIA,MATERIALES,FRASCO,150,1.18,30,2026-11-01,20.00
BOTONES LINGUALES,ODONTOLOGIA,MATERIALES,UNIDAD,1,10,5,2027-12-01,3.00
CADENETAS,ODONTOLOGIA,MATERIALES,UNIDAD,1,42,15,2027-12-01,4.00
CAJA PORTA PLACA,ODONTOLOGIA,MATERIALES,UNIDAD,1,18,5,2036-02-01,10.00
CEPILLOS PROFILACTICOS,ODONTOLOGIA,MATERIALES,PAQUETE,144,1.5,100,2027-12-01,0.30
CLAMS,ODONTOLOGIA,MATERIALES,UNIDAD,1,10,5,2036-02-01,8.00
CHAQUETA DE RX,ODONTOLOGIA,MATERIALES,UNIDAD,1,2,1,2036-02-01,60.00
CONDOR PORCELANA 10%,ODONTOLOGIA,MATERIALES,UNIDAD,1,1,2,2026-09-01,12.00
CUÑAS DE ROTACION,ODONTOLOGIA,MATERIALES,UNIDAD,1,42,15,2027-12-01,5.00
CUÑAS DE MADERA,ODONTOLOGIA,MATERIALES,UNIDAD,1,66,20,2027-12-01,5.00
DETARFAR,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,5,2026-10-01,15.00
DICAL,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,5,2026-10-01,12.00
DIQUES DE GOMAS,ODONTOLOGIA,MATERIALES,UNIDAD,1,0,10,2026-11-01,18.00
